ensembl_gene_id	go_id
192	FBgn0000500	GO:0006939
193	FBgn0000500	GO:0071855
194	FBgn0000500	GO:0007218
195	FBgn0000500	GO:0008343
196	FBgn0000500	GO:0005576
197	FBgn0000500	GO:0005179
198	FBgn0000500	GO:0005575
199	FBgn0032878	GO:0031146
200	FBgn0032878	GO:0019005
201	FBgn0032878	GO:0006511
202	FBgn0011974	
203	FBgn0259184	GO:0016021
204	FBgn0259184	GO:0016020
205	FBgn0259184	GO:0003674
206	FBgn0259184	GO:0008150
207	FBgn0030319	GO:0016021
208	FBgn0030319	GO:0016020
209	FBgn0029878	GO:0005871
210	FBgn0029878	GO:0045451
211	FBgn0029878	GO:0060632
212	FBgn0029878	GO:0006886
213	FBgn0029878	GO:0005515
214	FBgn0026324	GO:0005669
215	FBgn0026324	GO:0006367
216	FBgn0026324	GO:0005634
217	FBgn0026324	GO:0043966
218	FBgn0026324	GO:0005737
219	FBgn0026324	GO:0000124
220	FBgn0026324	GO:0006352
221	FBgn0026324	GO:0005515
222	FBgn0026324	GO:0016573
223	FBgn0026324	GO:0016251
224	FBgn0026324	GO:1990841
225	FBti0061104	
226	FBgn0031255	GO:0005929
227	FBgn0031255	GO:0034464
228	FBgn0031255	GO:0060271
229	FBgn0031255	GO:0036064
230	FBgn0031255	GO:0097730
231	FBgn0031255	GO:1905515
232	FBgn0031255	GO:0005515
233	FBgn0031255	GO:0003674
234	FBgn0266224	
235	FBgn0000566	GO:0005737
236	FBgn0000566	GO:0030170
237	FBgn0000566	GO:0004123
238	FBgn0000566	GO:0019346
239	FBgn0000566	GO:0016846
240	FBgn0000566	GO:0080146
241	FBgn0000566	GO:0044540
242	FBgn0000566	GO:0000096
243	FBgn0000566	GO:0006750
244	FBgn0000566	GO:0019343
245	FBgn0000566	GO:0003824
246	FBgn0000566	GO:0016829
247	FBgn0000566	GO:0019344
248	FBgn0053878	GO:0046982
249	FBgn0053878	GO:0005634
250	FBgn0053878	GO:0000786
251	FBgn0053878	GO:0006333
252	FBgn0053878	GO:0006334
253	FBgn0053878	GO:0003677
254	FBgn0053878	GO:0044877
255	FBgn0053878	GO:0005694
256	FBgn0053878	GO:0006325
257	FBgn0053878	GO:0005515
258	FBgn0053878	GO:0030527
259	FBti0020188	
260	FBgn0030665	GO:0003674
261	FBgn0030665	GO:0008150
262	FBgn0030665	GO:0005575
263	FBgn0036597	
264	FBti0063456	
265	FBgn0033019	GO:0043044
266	FBgn0033019	GO:0031011
267	FBgn0033019	GO:0006338
268	FBti0059766	
269	FBgn0035687	GO:0005634
270	FBgn0035687	GO:0010468
271	FBgn0035687	GO:0003682
272	FBgn0035687	GO:0000122
273	FBgn0035687	GO:0045944
274	FBgn0267986	
275	FBgn0260986	GO:0007143
276	FBgn0260986	GO:0008017
277	FBgn0260986	GO:0007052
278	FBgn0260986	GO:0032837
279	FBgn0260986	GO:0005827
280	FBgn0260986	GO:0005828
281	FBgn0260986	GO:0016321
282	FBgn0260986	GO:0001578
283	FBgn0260986	GO:0000212
284	FBgn0260986	GO:0007131
285	FBgn0260986	GO:0005819
286	FBgn0260986	GO:0045143
287	FBgn0260986	GO:0072686
288	FBgn0260986	GO:0005737
289	FBgn0260986	GO:0005856
290	FBti0062408	
291	FBti0061285	
292	FBti0061030	
293	FBgn0035921	
294	FBti0063420	
295	FBgn0262960	GO:0003674
296	FBgn0262960	GO:0008150
297	FBgn0262960	GO:0005575
298	FBgn0003448	GO:0045944
299	FBgn0003448	GO:0005634
300	FBgn0003448	GO:0046872
301	FBgn0003448	GO:0003677
302	FBgn0003448	GO:0000122
303	FBgn0003448	GO:0006355
304	FBgn0003448	GO:0007370
305	FBgn0003448	GO:0045892
306	FBgn0003448	GO:2000177
307	FBgn0003448	GO:0007443
308	FBgn0003448	GO:0055059
309	FBgn0003448	GO:0007499
310	FBgn0003448	GO:0000976
311	FBgn0003448	GO:0007417
312	FBgn0003448	GO:0000977
313	FBgn0003448	GO:0003700
314	FBgn0003448	GO:0031065
315	FBgn0003448	GO:0010004
316	FBgn0003448	GO:0048749
317	FBgn0003448	GO:0043565
318	FBgn0003448	GO:0045893
319	FBgn0003448	GO:0007498
320	FBgn0003448	GO:0070491
321	FBgn0003448	GO:0000978
322	FBgn0003448	GO:0000981
323	FBgn0003448	GO:0005515
324	FBgn0003448	GO:0003714
325	FBgn0003448	GO:0140297
326	FBti0064057	
327	FBti0060272	
328	FBti0064281	
329	FBgn0040747	GO:0003674
330	FBgn0040747	GO:0008150
331	FBgn0040747	GO:0005575
332	FBgn0036211	GO:0016021
333	FBgn0036211	GO:0012505
334	FBgn0036211	GO:0004128
335	FBgn0036211	GO:0071949
336	FBgn0036211	GO:0016491
337	FBgn0036211	GO:0016020
338	FBgn0036211	GO:0010883
339	FBgn0036211	GO:0006890
340	FBgn0036211	GO:0030126
341	FBgn0036090	GO:0016021
342	FBgn0036090	GO:0005737
343	FBgn0036090	GO:0071595
344	FBgn0036090	GO:0035307
345	FBgn0036090	GO:0010867
346	FBgn0036090	GO:0006629
347	FBgn0036090	GO:0031965
348	FBgn0036090	GO:0005634
349	FBgn0036090	GO:0016020
350	FBgn0036090	GO:0030176
351	FBgn0036090	GO:0003674
352	FBgn0036090	GO:0008150
353	FBgn0036090	GO:0005575
354	FBgn0020307	GO:0005634
355	FBgn0020307	GO:0005829
356	FBgn0020307	GO:0003677
357	FBgn0020307	GO:0000122
358	FBgn0020307	GO:0006355
359	FBgn0020307	GO:0000977
360	FBgn0020307	GO:0003700
361	FBgn0020307	GO:0016348
362	FBgn0020307	GO:0007476
363	FBgn0020307	GO:0015677
364	FBgn0020307	GO:0007494
365	FBgn0020307	GO:0048608
366	FBgn0020307	GO:0006357
367	FBgn0020307	GO:0006338
368	FBgn0020307	GO:0000978
369	FBgn0020307	GO:0000981
370	FBgn0052357	
371	FBgn0031268	GO:0016021
372	FBgn0031268	GO:0005737
373	FBgn0031268	GO:0035633
374	FBgn0031268	GO:0035151
375	FBgn0031268	GO:0060856
376	FBgn0031268	GO:0019991
377	FBgn0031268	GO:0042060
378	FBgn0031268	GO:0016020
379	FBgn0027495	GO:0005634
380	FBgn0027495	GO:0005737
381	FBgn0027495	GO:0042051
382	FBgn0027495	GO:0042826
383	FBgn0027495	GO:0010629
384	FBgn0027495	GO:0005515
385	FBgn0027495	GO:0046872
386	FBgn0027495	GO:0043229
387	FBtr0304352_df_nrg	
388	FBgn0261504	
389	FBtr0304529_df_nrg	
390	FBgn0003378	GO:0062130
391	FBgn0003378	GO:0007594
392	FBti0060049	
393	FBti0020084	
394	FBti0060696	
395	FBgn0037610	GO:0003723
396	FBgn0037610	GO:0005759
397	FBgn0037610	GO:0016226
398	FBgn0037610	GO:0005515
399	FBgn0037610	GO:0005739
400	FBgn0032294	GO:0016021
401	FBgn0032294	GO:0046961
402	FBgn0032294	GO:0000220
403	FBgn0032294	GO:0005774
404	FBgn0032294	GO:1902600
405	FBgn0032294	GO:0015078
406	FBgn0032294	GO:0033179
407	FBgn0032294	GO:0033177
408	FBgn0032294	GO:0016020
409	FBgn0032294	GO:0006811
410	FBgn0032294	GO:0005773
411	FBti0019256	
412	FBti0063379	
413	FBti0018927	
414	FBgn0036882	GO:0030424
415	FBgn0036882	GO:0005634
416	FBgn0036882	GO:0005737
417	FBgn0036882	GO:0035371
418	FBgn0036882	GO:0031122
419	FBgn0036882	GO:0000922
420	FBgn0036882	GO:0000776
421	FBgn0036882	GO:0000132
422	FBgn0036882	GO:0030286
423	FBgn0036882	GO:0051010
424	FBgn0036882	GO:0003774
425	FBgn0036882	GO:0007097
426	FBgn0036882	GO:0005875
427	FBgn0036882	GO:0005856
428	FBti0019585	
429	FBti0062640	
430	FBgn0037120	GO:0005634
431	FBgn0037120	GO:0010468
432	FBgn0037120	GO:0000978
433	FBgn0037120	GO:0006357
434	FBgn0037120	GO:0001228
435	FBgn0037120	GO:0045944
436	FBgn0037120	GO:0000977
437	FBgn0037120	GO:0000981
438	FBgn0037120	GO:0008270
439	FBgn0263092	
440	FBti0063759	
441	FBti0018872	
442	FBgn0262111	GO:0005737
443	FBgn0262111	GO:0048800
444	FBgn0262111	GO:0035317
445	FBgn0262111	GO:0008407
446	FBgn0262111	GO:0035017
447	FBgn0262111	GO:0007605
448	FBgn0262111	GO:0051017
449	FBgn0262111	GO:0009913
450	FBgn0262111	GO:0051015
451	FBgn0262111	GO:0005515
452	FBgn0263855	GO:0004672
453	FBgn0263855	GO:0005524
454	FBgn0263855	GO:0005737
455	FBgn0263855	GO:0000776
456	FBgn0263855	GO:0031937
457	FBgn0263855	GO:0007066
458	FBgn0263855	GO:0007096
459	FBgn0263855	GO:0000940
460	FBgn0263855	GO:0007065
461	FBgn0263855	GO:0010965
462	FBgn0263855	GO:0051754
463	FBgn0263855	GO:0070193
464	FBgn0263855	GO:0007094
465	FBgn0263855	GO:0000778
466	FBgn0263855	GO:0006468
467	FBgn0263855	GO:0000166
468	FBgn0263855	GO:0016301
469	FBgn0263855	GO:0016310
470	FBgn0263855	GO:0031507
471	FBgn0050088	GO:0004252
472	FBgn0050088	GO:0005615
473	FBgn0050088	GO:0006508
474	FBgn0050088	GO:0016787
475	FBgn0050088	GO:0008233
476	FBgn0050088	GO:0008236
477	FBti0060942	
478	FBgn0033247	GO:0048477
479	FBgn0033247	GO:0005635
480	FBgn0033247	GO:0031080
481	FBgn0033247	GO:0034198
482	FBgn0033247	GO:1904263
483	FBgn0033247	GO:0061700
484	FBgn0033247	GO:0010508
485	FBgn0033247	GO:0007293
486	FBgn0033247	GO:0034629
487	FBgn0033247	GO:0010507
488	FBgn0033247	GO:0005764
489	FBgn0033247	GO:0051445
490	FBgn0033247	GO:0051301
491	FBgn0033247	GO:0035859
492	FBgn0033247	GO:0007346
493	FBgn0033247	GO:0051321
494	FBgn0033247	GO:0005198
495	FBgn0033247	GO:0044754
496	FBgn0033247	GO:0045793
497	FBgn0033247	GO:0015031
498	FBgn0033247	GO:0032008
499	FBgn0033247	GO:0032991
500	FBgn0033247	GO:0005515
501	FBgn0033247	GO:0005634
502	FBgn0033247	GO:0007049
503	FBgn0033247	GO:0030154
504	FBgn0262413	
505	FBti0060940	
506	FBgn0267636	
507	FBgn0053489	GO:0003674
508	FBgn0053489	GO:0008150
509	FBgn0053489	GO:0005575
510	FBgn0031127	
511	FBgn0262896	GO:0003674
512	FBgn0262896	GO:0008150
513	FBgn0262896	GO:0005575
514	FBgn0053914	GO:0003674
515	FBgn0053914	GO:0008150
516	FBgn0053914	GO:0005575
517	FBgn0028858	GO:0005737
518	FBgn0028858	GO:0036158
519	FBgn0028858	GO:0045504
520	FBgn0028858	GO:0043014
521	FBgn0028858	GO:0005515
522	FBgn0028858	GO:0000166
523	FBgn0028858	GO:0003723
524	FBgn0028858	GO:0003924
525	FBgn0028858	GO:0005525
526	FBgn0028858	GO:0005829
527	FBgn0028858	GO:0008312
528	FBgn0028858	GO:0006614
529	FBgn0028858	GO:0005786
530	FBgn0028858	GO:0048500
531	FBgn0028858	GO:0006616
532	FBgn0028858	GO:0030942
533	FBgn0028858	GO:0045047
534	FBgn0028858	GO:0051179
535	FBgn0263802	
536	FBgn0267522	
537	FBgn0053095	
538	FBgn0267590	
539	FBti0062007	
540	FBgn0033490	GO:0016021
541	FBgn0033490	GO:0005634
542	FBgn0033490	GO:0003676
543	FBgn0033490	GO:0005743
544	FBgn0033490	GO:0005739
545	FBgn0033490	GO:0046872
546	FBgn0033490	GO:0004519
547	FBgn0033490	GO:0004521
548	FBgn0033490	GO:0006309
549	FBgn0033490	GO:0004518
550	FBgn0033490	GO:0000737
551	FBgn0033490	GO:0000014
552	FBgn0033490	GO:0016787
553	FBgn0033490	GO:0016020
554	FBgn0033490	GO:0090305
555	FBgn0033490	GO:0090502
556	FBgn0038070	GO:0006629
557	FBgn0038070	GO:0016042
558	FBgn0038070	GO:0016788
559	FBgn0038070	GO:0016787
560	FBgn0038070	GO:0004806
561	FBgn0085294	GO:0003674
562	FBgn0085294	GO:0008150
563	FBgn0085294	GO:0005575
564	FBgn0267571	
565	FBgn0031733	GO:0016021
566	FBgn0031733	GO:0005635
567	FBgn0031733	GO:0005637
568	FBgn0031733	GO:0016020
569	FBgn0031733	GO:0003674
570	FBgn0031733	GO:0008150
571	FBti0061444	
572	FBti0060243	
573	FBgn0030912	
574	FBgn0032416	GO:0016021
575	FBgn0032416	GO:0030425
576	FBgn0032416	GO:0030424
577	FBgn0032416	GO:0007165
578	FBgn0032416	GO:0005886
579	FBgn0032416	GO:0050913
580	FBgn0032416	GO:0008049
581	FBgn0032416	GO:0050909
582	FBgn0032416	GO:0008527
583	FBgn0032416	GO:0043025
584	FBgn0032416	GO:0044297
585	FBgn0032416	GO:0060179
586	FBgn0032416	GO:0016020
587	FBgn0032416	GO:0050912
588	FBgn0031139	
589	FBgn0261859	GO:0007165
590	FBgn0261859	GO:0005737
591	FBgn0261859	GO:0005856
592	FBgn0261859	GO:0005515
593	FBgn0261859	GO:0071944
594	FBgn0261859	GO:0009887
595	FBgn0261859	GO:0030182
596	FBgn0034081	GO:0005739
597	FBgn0034081	GO:1902600
598	FBgn0034081	GO:0016020
599	FBgn0034081	GO:0003674
600	FBgn0034081	GO:0008150
601	FBgn0034081	GO:0005743
602	FBgn0034081	GO:0005737
603	FBgn0262389	
604	FBgn0037363	GO:0019901
605	FBgn0037363	GO:0000407
606	FBgn0037363	GO:0060090
607	FBgn0037363	GO:1990316
608	FBgn0037363	GO:0019898
609	FBgn0037363	GO:0001934
610	FBgn0037363	GO:0061709
611	FBgn0037363	GO:0006914
612	FBgn0037363	GO:0035071
613	FBgn0037363	GO:0030242
614	FBgn0037363	GO:0000045
615	FBgn0037363	GO:0061723
616	FBgn0037363	GO:0035096
617	FBgn0037363	GO:0060729
618	FBgn0037363	GO:0034727
619	FBgn0037363	GO:0009267
620	FBgn0037363	GO:0019887
621	FBgn0037363	GO:0016236
622	FBgn0037363	GO:0034045
623	FBgn0037363	GO:0032147
624	FBgn0037363	GO:0000422
625	FBgn0037363	GO:0006996
626	FBgn0267581	
627	FBti0061606	
628	FBtr0304432_df_nrg	
629	FBgn0053848	GO:0046982
630	FBgn0053848	GO:0000790
631	FBgn0053848	GO:0005634
632	FBgn0053848	GO:0000786
633	FBgn0053848	GO:0006334
634	FBgn0053848	GO:0003677
635	FBgn0053848	GO:0005700
636	FBgn0053848	GO:0000788
637	FBgn0053848	GO:0035059
638	FBgn0053848	GO:0031492
639	FBgn0053848	GO:0005694
640	FBgn0053848	GO:0000785
641	FBgn0053848	GO:0005515
642	FBgn0053848	GO:0043232
643	FBgn0053848	GO:0030527
644	FBgn0032929	GO:0005634
645	FBgn0032929	GO:0045931
646	FBgn0032929	GO:0046872
647	FBgn0032929	GO:0003690
648	FBgn0032929	GO:0006270
649	FBgn0032929	GO:0070868
650	FBgn0032929	GO:1901693
651	FBgn0032929	GO:0030261
652	FBgn0032929	GO:0003697
653	FBgn0032929	GO:0003688
654	FBgn0032929	GO:0006260
655	FBgn0032929	GO:0045678
656	FBgn0032929	GO:0035214
657	FBgn0032929	GO:0031298
658	FBgn0032929	GO:0042023
659	FBgn0032929	GO:0005515
660	FBgn0032929	GO:0003674
661	FBti0059914	
662	FBti0059672	
663	FBgn0042199	GO:0032879
664	FBgn0039552	GO:0016021
665	FBgn0039552	GO:0016020
666	FBgn0039552	GO:0003674
667	FBgn0039552	GO:0008150
668	FBgn0039552	GO:0005575
669	FBgn0024179	GO:0004672
670	FBgn0024179	GO:0005524
671	FBgn0024179	GO:0016021
672	FBgn0024179	GO:0043235
673	FBgn0024179	GO:0005886
674	FBgn0024179	GO:0007528
675	FBgn0024179	GO:0006468
676	FBgn0024179	GO:0048813
677	FBgn0024179	GO:0005024
678	FBgn0024179	GO:0030509
679	FBgn0024179	GO:0045202
680	FBgn0024179	GO:0005769
681	FBgn0024179	GO:0004674
682	FBgn0024179	GO:0071363
683	FBgn0024179	GO:0045887
684	FBgn0024179	GO:0007274
685	FBgn0024179	GO:0007419
686	FBgn0024179	GO:0055037
687	FBgn0024179	GO:0016020
688	FBgn0024179	GO:0004675
689	FBgn0024179	GO:0007178
690	FBgn0024179	GO:0000166
691	FBgn0024179	GO:0016740
692	FBgn0024179	GO:0098820
693	FBgn0024179	GO:0051124
694	FBgn0024179	GO:0016362
695	FBgn0024179	GO:0032924
696	FBgn0024179	GO:0048179
697	FBgn0024179	GO:0060395
698	FBgn0024179	GO:0070724
699	FBgn0024179	GO:0098821
700	FBgn0024179	GO:0036122
701	FBti0019687	
702	FBti0019502	
703	FBgn0267797	
704	FBgn0053680	GO:0016021
705	FBgn0053680	GO:0005615
706	FBgn0053680	GO:0016020
707	FBgn0053680	GO:0032504
708	FBgn0283471	GO:0005861
709	FBgn0283471	GO:0007399
710	FBgn0283471	GO:0046872
711	FBgn0283471	GO:0048738
712	FBgn0283471	GO:0045214
713	FBgn0283471	GO:0007507
714	FBgn0283471	GO:0007527
715	FBgn0283471	GO:0005865
716	FBgn0283471	GO:0003779
717	FBgn0283471	GO:0030239
718	FBgn0283471	GO:0060047
719	FBgn0283471	GO:0000280
720	FBgn0283471	GO:0006936
721	FBgn0283471	GO:0046716
722	FBgn0283471	GO:0007517
723	FBgn0283471	GO:0005634
724	FBti0060606	
725	FBti0063319	
726	FBgn0034785	GO:0016021
727	FBgn0034785	GO:0005886
728	FBgn0034785	GO:0006820
729	FBgn0034785	GO:0022857
730	FBgn0034785	GO:0055085
731	FBgn0034785	GO:0016020
732	FBgn0039732	GO:0071014
733	FBgn0039732	GO:0005684
734	FBgn0039732	GO:0003674
735	FBgn0039732	GO:0008150
736	FBgn0039732	GO:0005575
737	FBti0063913	
738	FBgn0038224	GO:1902600
739	FBgn0038224	GO:0015986
740	FBgn0038224	GO:0000276
741	FBgn0038224	GO:0015078
742	FBgn0038224	GO:0005753
743	FBgn0038224	GO:0016020
744	FBgn0038224	GO:0006811
745	FBgn0038224	GO:0005739
746	FBgn0038224	GO:0005743
747	FBgn0038224	GO:0045263
748	FBgn0038224	GO:0006754
749	FBgn0038224	GO:0046933
750	FBgn0040393	
751	FBti0019146	
752	FBti0063215	
753	FBgn0264776	GO:0003674
754	FBgn0264776	GO:0008150
755	FBgn0264776	GO:0005575
756	RR48340_transposable_element	
757	FBgn0083053	
758	FBti0059712	
759	FBgn0025643	GO:0017124
760	FBgn0265049	
761	FBti0064291	
762	FBgn0038525	GO:0003674
763	FBgn0038525	GO:0008150
764	FBgn0038525	GO:0005575
765	FBgn0262397	
766	FBti0019994	
767	FBgn0020906	GO:0004252
768	FBgn0020906	GO:0004175
769	FBgn0020906	GO:0006508
770	FBgn0020906	GO:0016787
771	FBgn0020906	GO:0008233
772	FBgn0020906	GO:0008236
773	FBgn0020906	GO:0017171
774	FBti0061813	
775	FBgn0086078	
776	FBgn0035510	GO:0031012
777	FBgn0035510	GO:0008010
778	FBgn0035510	GO:0062129
779	FBgn0035510	GO:0040003
780	FBgn0035510	GO:0042302
