FamilyID	Bombus_bifarius<1>	Bombus_pyrosoma<2>	Bombus_affinis<3>	Bombus_terrestris<4>	<5>	<6>	<7>
N0.HOG0000184	0.587916	0.0951371	0.528419	0.0147565	N/A	0.530309	0.00168032
N0.HOG0000187	0.532289	0.0336612	0.511671	0.00590461	N/A	0.510424	0.00852191
N0.HOG0000188	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000190	0.532289	0.522527	0.00882236	1.25141e-16	N/A	0.510424	0.516903
N0.HOG0000191	0.032796	0.522527	0.505887	0.505887	N/A	0.0307862	0.516903
N0.HOG0000192	0.532289	0.522527	0.505887	8.98319e-28	N/A	0.510424	0.516903
N0.HOG0000193	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000194	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000195	0.092262	0.543544	0.00590461	0.0175067	N/A	0.520523	0.532955
N0.HOG0000197	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000198	0.092262	0.543544	0.00590461	0.0175067	N/A	0.520523	0.532955
N0.HOG0000200	0.587916	0.0951371	0.000206536	5.38951e-05	N/A	0.530309	0.548201
N0.HOG0000202	0.092262	0.543544	0.522935	2.18945e-08	N/A	0.520523	0.000716662
N0.HOG0000204	0.532289	2.23186e-22	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000207	0.0163963	0.0336612	0.505887	0.505887	N/A	0.510424	0.516903
N0.HOG0000209	0.532289	0.0336612	8.98319e-28	0.00882236	N/A	0.510424	0.516903
N0.HOG0000210	0.532289	0.522527	0.000591933	0.528419	N/A	0.510424	4.22295e-08
N0.HOG0000213	0.532289	0.522527	2.57643e-23	0.505887	N/A	0.510424	0.516903
N0.HOG0000214	0.092262	0.543544	0.0175067	0.511671	N/A	0.520523	0.532955
N0.HOG0000216	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000217	0.092262	0.0012742	0.511671	0.511671	N/A	0.520523	0.532955
N0.HOG0000220	0.561485	0.0653274	0.517353	0.00885641	N/A	0.520523	0.0170441
N0.HOG0000221	0.561485	0.0653274	4.31701e-20	1.82437e-05	N/A	0.520523	0.532955
N0.HOG0000224	0.611874	4.49499e-06	0.5	0.5	N/A	0.539792	1.1442e-07
N0.HOG0000225	0.532289	0.0336612	0.00882236	8.98319e-28	N/A	0.510424	0.516903
N0.HOG0000227	0.092262	0.0227759	0.511671	0.511671	N/A	0.520523	0.532955
N0.HOG0000231	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000232	0.561485	2.28497e-05	0.511671	0.0175067	N/A	0.520523	0.532955
N0.HOG0000233	0.532289	0.522527	9.90808e-16	0.511671	N/A	0.510424	0.00852191
N0.HOG0000234	6.57663e-10	0.522527	0.505887	0.505887	N/A	0.000173407	0.516903
N0.HOG0000235	0.532289	0.522527	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000241	0.532289	0.0336612	0.522935	2.18945e-08	N/A	0.510424	2.47698e-06
N0.HOG0000242	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000243	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000244	0.532289	1.34738e-07	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000249	1.56199e-08	0.522527	0.505887	0.505887	N/A	0.000173407	0.516903
N0.HOG0000253	0.532289	0.522527	0.505887	7.38933e-19	N/A	0.510424	0.516903
N0.HOG0000254	0.532289	0.522527	0.511671	1.46853e-13	N/A	0.510424	0.00852191
N0.HOG0000255	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000256	0.532289	0.522527	0.00590461	0.511671	N/A	0.510424	0.00852191
N0.HOG0000259	0.587916	0.563162	0.511671	1.82437e-05	N/A	0.530309	0.0725218
N0.HOG0000261	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000262	0.532289	0.522527	0.505887	0.0029523	N/A	0.510424	0.516903
N0.HOG0000263	3.5802e-07	0.0653274	0.511671	0.0175067	N/A	0.0455464	0.532955
N0.HOG0000264	7.82543e-06	0.543544	0.0175067	0.511671	N/A	0.0455464	0.532955
N0.HOG0000269	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000271	0.532289	0.522527	0.517353	1.21716e-06	N/A	0.510424	0.000145288
N0.HOG0000272	0.00262242	0.0653274	1.82437e-05	0.511671	N/A	0.520523	0.532955
N0.HOG0000275	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000282	0.532289	0.522527	1.25141e-16	0.505887	N/A	0.510424	0.516903
N0.HOG0000284	0.532289	0.0336612	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000286	0.532289	0.522527	0.517353	0.517353	N/A	0.510424	0.000145288
N0.HOG0000287	0.0163963	0.522527	0.5	0.5	N/A	0.510424	0.0252825
N0.HOG0000288	0.532289	0.522527	0.505887	0.00882236	N/A	0.510424	0.516903
N0.HOG0000289	0.032796	0.0653274	8.67542e-05	1.82437e-05	N/A	0.520523	0.532955
N0.HOG0000290	6.72397e-05	0.522527	0.505887	0.00882236	N/A	0.0307862	0.516903
N0.HOG0000291	0.032796	0.0336612	0.505887	0.00882236	N/A	0.0307862	0.516903
N0.HOG0000293	0.092262	0.543544	0.0175067	0.511671	N/A	0.520523	0.532955
N0.HOG0000295	0.532289	0.0336612	0.0029523	0.505887	N/A	0.510424	0.516903
N0.HOG0000296	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000297	0.532289	0.522527	0.522935	0.522935	N/A	0.510424	2.47698e-06
N0.HOG0000298	0.000195378	0.543544	0.505887	0.505887	N/A	0.0455464	0.0494368
N0.HOG0000299	0.532289	0.522527	2.1193e-14	0.505887	N/A	0.510424	0.516903
N0.HOG0000302	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
N0.HOG0000303	0.00601701	0.000304058	1.82437e-05	0.511671	N/A	0.0455464	0.532955
N0.HOG0000309	0.092262	0.0012742	0.511671	0.511671	N/A	0.520523	0.532955
N0.HOG0000310	0.00262242	0.000304058	8.67542e-05	0.0175067	N/A	0.520523	0.532955
N0.HOG0000311	0.561485	0.000304058	2.13232e-11	1.82437e-05	N/A	0.520523	0.532955
N0.HOG0000314	0.532289	0.0336612	1.25141e-16	0.00882236	N/A	0.510424	0.516903
N0.HOG0000315	0.532289	0.522527	0.517353	0.00885641	N/A	0.510424	0.000145288
N0.HOG0000316	0.587916	0.563162	0.0175067	0.511671	N/A	0.530309	0.0725218
N0.HOG0000319	0.532289	0.522527	0.00882236	0.505887	N/A	0.510424	0.516903
